iter	Passed	Remaining
400	26733	6600
401	26794	6532
402	26875	6468
403	26951	6404
404	27023	6338
405	27102	6275
406	27169	6208
407	27236	6141
408	27289	6071
409	27360	6006
410	27424	5938
411	27497	5873
412	27560	5805
413	27722	5758
414	27818	5697
415	27892	5632
416	27958	5564
417	28022	5497
418	28081	5428
419	28148	5361
420	28211	5293
421	28266	5224
422	28317	5154
423	28371	5085
424	28425	5016
425	28484	4947
426	28543	4879
427	28600	4811
428	28654	4742
429	28716	4674
430	28771	4606
431	28837	4539
432	28902	4472
433	28968	4405
434	29033	4338
435	29091	4270
436	29153	4202
437	29209	4134
438	29264	4066
439	29330	3999
440	29392	3932
441	29451	3864
442	29507	3796
443	29565	3728
444	29625	3661
445	29690	3594
446	29744	3526
447	29807	3459
448	29864	3392
449	29928	3325
450	30001	3259
451	30055	3191
452	30111	3124
453	30165	3056
454	30228	2989
455	30287	2922
456	30356	2856
457	30432	2790
458	30502	2724
459	30580	2659
460	30646	2592
461	30715	2526
462	30780	2459
463	30850	2393
464	30928	2327
465	30995	2261
466	31059	2194
467	31128	2128
468	31194	2061
469	31266	1995
470	31335	1929
471	31391	1862
472	31461	1795
473	31532	1729
474	31597	1663
475	31668	1596
476	31729	1529
477	31781	1462
478	31842	1396
479	31903	1329
480	31957	1262
481	32015	1195
482	32070	1128
483	32123	1061
484	32183	995
485	32240	928
486	32299	862
487	32358	795
488	32414	729
489	32479	662
490	32543	596
491	32617	530
492	32687	464
493	32755	397
494	32818	331
495	32878	265
496	32947	198
497	33009	132
498	33066	66
499	33129	0
