iter	Accuracy	Logloss
147	0.8286933857	0.3388369119
148	0.8288444831	0.3386183492
149	0.8287689344	0.3384351738
150	0.8289578061	0.3382508856
151	0.8288444831	0.3378778888
152	0.8289578061	0.3377108321
153	0.8292977751	0.3374684421
154	0.8294866468	0.3372533945
155	0.8295621954	0.3369862031
156	0.8298643901	0.3367802233
157	0.8298266158	0.3366028666
158	0.8299777131	0.3363959425
159	0.8302799078	0.3362173018
160	0.8307331999	0.3359547429
161	0.8306576512	0.3356837827
162	0.8307331999	0.3352973484
163	0.8310731689	0.3350591423
164	0.8311109432	0.3347091409
165	0.8313375892	0.3343978677
166	0.8310731689	0.3342007042
167	0.8313375892	0.3339907608
168	0.8313375892	0.3336830338
169	0.8318286556	0.3331323625
170	0.8318286556	0.3329432602
171	0.8319042043	0.3325067116
172	0.8320175273	0.3322190081
173	0.8320553016	0.3320521166
174	0.832093076	0.3316964515
175	0.8321308503	0.3313123451
176	0.8322441733	0.3310396359
177	0.8322441733	0.3308179062
178	0.832659691	0.3305601693
179	0.832773014	0.3302625584
180	0.8329618857	0.329968955
181	0.832886337	0.3296873136
182	0.83299966	0.3295320477
183	0.8333774034	0.3293452666
184	0.833226306	0.3285165769
185	0.8334151777	0.3281933941
186	0.8336040494	0.3280142672
187	0.8339440184	0.3276870197
188	0.8341706645	0.3273592626
189	0.8342839875	0.3271217068
190	0.8343973105	0.3269163755
191	0.8343595361	0.3262926731
192	0.8344350848	0.3261039466
193	0.8346995052	0.3259605887
194	0.8350772485	0.3257219195
195	0.8351150229	0.3253815366
196	0.8352283459	0.3251316209
197	0.8353794432	0.3246721168
198	0.8353038945	0.3243176307
199	0.8354549919	0.3239902917
200	0.8354927662	0.3238478
201	0.8359082839	0.3234241648
202	0.8362482529	0.3231827969
203	0.8363993503	0.3229772753
204	0.836701545	0.3227728803
205	0.8369659653	0.322628584
206	0.8365504476	0.3221782668
207	0.836701545	0.3218320916
208	0.8370037397	0.3216175548
209	0.8372303857	0.3213636574
210	0.8378725494	0.3211256177
211	0.8380991954	0.3208404054
212	0.8384769388	0.3206266787
213	0.8386658104	0.320453045
214	0.8388546821	0.3201328214
215	0.8393835228	0.3197853859
216	0.8393835228	0.3196198477
217	0.8394968458	0.3194046018
218	0.8395346202	0.3191372265
219	0.8397234919	0.3188461805
220	0.8400634609	0.318568305
221	0.8404412042	0.3183034946
222	0.8403656556	0.3181207066
223	0.840970045	0.3178806826
224	0.8410078193	0.3174873186
